	2 mm	4 mm	6 mm	8 mm	10 mm	12 mm	14 mm	16 mm	18 mm	20 mm	30 mm	40 mm
75	78.957234	56.394719	43.818266	36.628952	33.284211	32.403995	32.397001	32.496299	32.781969	32.4238	32.818146	31.233123
76	78.798341	57.090699	44.334981	36.960433	33.44999	32.467892	32.417483	32.510263	32.782523	32.411069	32.814121	31.243664
77	78.798341	57.090699	44.334981	36.960433	33.44999	32.467892	32.417483	32.510263	32.782523	32.411069	32.814121	31.243664
78	80.51129	57.762709	44.843408	37.271379	33.585395	32.519162	32.438733	32.510688	32.768734	32.418577	32.79186	31.236293
79	80.51129	57.762709	44.843408	37.271379	33.585395	32.519162	32.438733	32.510688	32.768734	32.418577	32.79186	31.236293
80	81.236483	58.425322	45.35581	37.592751	33.737815	32.582798	32.447947	32.495999	32.742225	32.412903	32.783669	31.222045
81	81.236483	58.425322	45.35581	37.592751	33.737815	32.582798	32.447947	32.495999	32.742225	32.412903	32.783669	31.222045
82	81.932162	59.099392	45.872234	37.920165	33.902033	32.653489	32.476554	32.502569	32.762582	32.4225	32.779068	31.227018
83	81.932162	59.099392	45.872234	37.920165	33.902033	32.653489	32.476554	32.502569	32.762582	32.4225	32.779068	31.227018
84	82.621654	59.755043	46.385661	38.255193	34.070722	32.726699	32.504397	32.504334	32.762253	32.431334	32.782403	31.224428
85	82.621654	59.755043	46.385661	38.255193	34.070722	32.726699	32.504397	32.504334	32.762253	32.431334	32.782403	31.224428
86	83.291967	60.388286	46.884347	38.591932	34.226056	32.797152	32.520491	32.505179	32.753614	32.430709	32.75911	31.217019
87	83.291967	60.388286	46.884347	38.591932	34.226056	32.797152	32.520491	32.505179	32.753614	32.430709	32.75911	31.217019
88	83.957551	61.023644	47.38227	38.921775	34.409133	32.867028	32.548826	32.50591	32.745765	32.449198	32.76042	31.203075
89	83.957551	61.023644	47.38227	38.921775	34.409133	32.867028	32.548826	32.50591	32.745765	32.449198	32.76042	31.203075
90	84.621027	61.645188	47.8939	39.261107	34.572166	32.949992	32.583676	32.517906	32.746492	32.452902	32.762062	31.196053
91	84.621027	61.645188	47.8939	39.261107	34.572166	32.949992	32.583676	32.517906	32.746492	32.452902	32.762062	31.196053
92	85.252088	62.249283	48.381689	39.593017	34.744163	33.026511	32.599363	32.515445	32.738362	32.453245	32.745918	31.176848
93	85.252088	62.249283	48.381689	39.593017	34.744163	33.026511	32.599363	32.515445	32.738362	32.453245	32.745918	31.176848
94	85.879385	62.870163	48.879188	39.940171	34.937553	33.121973	32.649798	32.53263	32.730632	32.460171	32.739791	31.189928
95	85.879385	62.870163	48.879188	39.940171	34.937553	33.121973	32.649798	32.53263	32.730632	32.460171	32.739791	31.189928
96	85.207566	63.478558	49.377374	40.278781	35.134291	33.218384	32.681868	32.542527	32.740718	32.469801	32.738657	31.186767
97	85.207566	63.478558	49.377374	40.278781	35.134291	33.218384	32.681868	32.542527	32.740718	32.469801	32.738657	31.186767
98	85.815663	64.070019	49.856466	40.63206	35.315042	33.305667	32.723365	32.545819	32.743744	32.470538	32.723594	31.18066
99	85.815663	64.070019	49.856466	40.63206	35.315042	33.305667	32.723365	32.545819	32.743744	32.470538	32.723594	31.18066
100	86.441711	64.659112	50.355471	40.982939	35.517219	33.415531	32.760038	32.558891	32.752482	32.468513	32.735079	31.174258
101	86.441711	64.659112	50.355471	40.982939	35.517219	33.415531	32.760038	32.558891	32.752482	32.468513	32.735079	31.174258
102	87.053058	65.223365	50.829348	41.318846	35.702537	33.509586	32.800451	32.573327	32.728782	32.448242	32.715043	31.151105
103	87.053058	65.223365	50.829348	41.318846	35.702537	33.509586	32.800451	32.573327	32.728782	32.448242	32.715043	31.151105
104	88.912365	65.796592	51.296951	41.667707	35.905821	33.597683	32.832123	32.589137	32.738932	32.437324	32.706875	31.16235
105	88.912365	65.796592	51.296951	41.667707	35.905821	33.597683	32.832123	32.589137	32.738932	32.437324	32.706875	31.16235
106	89.479887	66.36403	51.772328	42.010907	36.104984	33.717041	32.892896	32.60075	32.749795	32.412458	32.712471	31.160448
107	89.479887	66.36403	51.772328	42.010907	36.104984	33.717041	32.892896	32.60075	32.749795	32.412458	32.712471	31.160448
108	90.049449	66.91617	52.250753	42.359465	36.307569	33.814343	32.92829	32.604724	32.750161	32.402517	32.69635	31.142641
109	90.049449	66.91617	52.250753	42.359465	36.307569	33.814343	32.92829	32.604724	32.750161	32.402517	32.69635	31.142641
110	90.62935	67.44899	52.707594	42.705432	36.523085	33.91864	32.981272	32.63838	32.744306	32.367799	32.683396	31.136672
111	90.62935	67.44899	52.707594	42.705432	36.523085	33.91864	32.981272	32.63838	32.744306	32.367799	32.683396	31.136672
112	90.611372	68.000074	53.18288	43.04559	36.730679	34.041656	33.038477	32.652318	32.744281	32.353801	32.694363	31.137329
113	90.611372	68.000074	53.18288	43.04559	36.730679	34.041656	33.038477	32.652318	32.744281	32.353801	32.694363	31.137329
114	90.166547	68.538659	53.655975	43.399587	36.951431	34.162444	33.104118	32.682587	32.754529	32.338856	32.683544	31.137141
115	90.166547	68.538659	53.655975	43.399587	36.951431	34.162444	33.104118	32.682587	32.754529	32.338856	32.683544	31.137141
116	91.487924	69.073612	54.105949	43.73784	37.151815	34.286653	33.145234	32.696831	32.752613	32.32205	32.680941	31.131226
117	91.487924	69.073612	54.105949	43.73784	37.151815	34.286653	33.145234	32.696831	32.752613	32.32205	32.680941	31.131226
118	92.885826	69.592487	54.553551	44.091274	37.36447	34.393267	33.198933	32.710182	32.761224	32.308445	32.660929	31.125333
119	92.885826	69.592487	54.553551	44.091274	37.36447	34.393267	33.198933	32.710182	32.761224	32.308445	32.660929	31.125333
120	92.473934	70.127694	55.005844	44.432176	37.590384	34.525964	33.27262	32.744175	32.774953	32.302938	32.662293	31.116492
121	92.473934	70.127694	55.005844	44.432176	37.590384	34.525964	33.27262	32.744175	32.774953	32.302938	32.662293	31.116492
122	93.832919	70.635647	55.445756	44.776929	37.802227	34.644093	33.332677	32.762673	32.777338	32.288373	32.65071	31.102684
123	93.832919	70.635647	55.445756	44.776929	37.802227	34.644093	33.332677	32.762673	32.777338	32.288373	32.65071	31.102684
124	93.512736	71.146097	55.900989	45.13049	38.034673	34.781101	33.396299	32.804449	32.791766	32.298684	32.650713	31.1154
125	93.512736	71.146097	55.900989	45.13049	38.034673	34.781101	33.396299	32.804449	32.791766	32.298684	32.650713	31.1154
126	94.86308	71.647785	56.352034	45.472851	38.24585	34.904257	33.468807	32.825035	32.804558	32.292011	32.6445	31.107583
127	94.86308	71.647785	56.352034	45.472851	38.24585	34.904257	33.468807	32.825035	32.804558	32.292011	32.6445	31.107583
128	95.370722	72.141925	56.786157	45.805246	38.464091	35.034247	33.530601	32.852482	32.805258	32.295918	32.638559	31.096088
129	95.370722	72.141925	56.786157	45.805246	38.464091	35.034247	33.530601	32.852482	32.805258	32.295918	32.638559	31.096088
